iter	Logloss
0	0.6611212836
1	0.6319914415
2	0.6054572211
3	0.578219536744	0.554488932355	0.533253377366	0.5128929647	7	0.4953449168	8	0.4781697599	9	0.4637321641010	0.4516882321111	0.4369892031212	0.4245756021313	0.4160614691414	0.4060479731515	0.394804145116	0.3864201864117	0.3771341281118	0.3676554319119	0.3606729420220	0.353851421	21	0.3465389622	22	0.3399992223	23	0.3319141324	24	0.3263529799
25	0.3204167684
26	0.3143767632
27	0.3111307102
28	0.3068022325
29	0.3022922431
30	0.298563571531	0.2945276896
32	0.2900120036
33	0.2857483588
34	0.2825341627

35	0.2787784492
36	0.2750992499
37	0.2713557604
38	0.2671157159
39	0.264315389
40	0.2612003581
41	0.2564941237
42	0.2520777554
43	0.2492023892
44	0.2465998332
45	0.2436698914
46	0.2409413147
47	0.2388478427
48	0.2362272644
49	0.2331324768
50	0.231128201
51	0.2280612352
52	0.2253864712
53	0.2233777703
54	0.2200585259
55	0.2174014621
56	0.2150580512
57	0.2126793077
58	0.2107959663
59	0.20891922
60	0.2068495348
61	0.2052531603
62	0.2032296244
63	0.2005456882
64	0.1988294305
65	0.1970133803
66	0.1949562073
67	0.1934855821
68	0.1923199802
69	0.1901452806
70	0.1889801364
71	0.1877655029
72	0.1867512682
73	0.1852315267
74	0.183672977
75	0.1818822903
76	0.1804963175
77	0.1793582831
78	0.1778810967
79	0.1760638428
80	0.1747295295
81	0.1728372871
82	0.1719636197
83	0.1705242072
84	0.1692363824
85	0.1674528334
86	0.1657880995
87	0.1642017619
88	0.1631592475
89	0.1619562107
.1687783305
91	0.1682960002
92	0.1671190559
93	0.1659781901
94	0.1650396729
95	0.1638887533
96	0.1631464979
97	0.1627296956
98	0.1614972941
99	0.1598429362
